tool,file,layer,expected_finding,detected,n_findings,runtime_s,exit_code,crashed
actionlint,microsoft_vscode_telemetry__registry.yml,registry,unknown_input,1,1,0.0139,1,0
actionlint,microsoft_vscode_telemetry__syntax.yml,syntax,syntax,1,1,0.0093,1,0
actionlint,mrdoob_three.js_ci__registry.yml,registry,unknown_input,0,0,0.0107,0,0
actionlint,mrdoob_three.js_ci__syntax.yml,syntax,syntax,1,1,0.0067,1,0
actionlint,mrdoob_three.js_codeql-code-scanning__registry.yml,registry,unknown_input,0,0,0.0070,0,0
actionlint,mrdoob_three.js_codeql-code-scanning__syntax.yml,syntax,syntax,1,1,0.0053,1,0
actionlint,mui_material-ui_vale-action__registry.yml,registry,unknown_input,0,0,0.0135,0,0
actionlint,mui_material-ui_vale-action__syntax.yml,syntax,syntax,1,1,0.0076,1,0
actionlint,ohmyzsh_ohmyzsh_project__registry.yml,registry,unknown_input,0,0,0.0110,0,0
actionlint,ohmyzsh_ohmyzsh_project__syntax.yml,syntax,syntax,1,1,0.0062,1,0
actionlint,puppeteer_puppeteer_devtools__registry.yml,registry,unknown_input,0,0,0.0156,0,0
actionlint,puppeteer_puppeteer_devtools__syntax.yml,syntax,syntax,1,1,0.0068,1,0
actionlint,puppeteer_puppeteer_release-please__execution.yml,execution,nonexistent-seed-job,1,1,0.0118,1,0
actionlint,puppeteer_puppeteer_release-please__registry.yml,registry,unknown_input,0,0,0.0106,0,0
actionlint,puppeteer_puppeteer_release-please__schema.yml,schema,shell,1,1,0.0132,1,0
actionlint,puppeteer_puppeteer_release-please__syntax.yml,syntax,syntax,1,1,0.0088,1,0
actionlint,storybookjs_storybook_prepare-patch-release__registry.yml,registry,unknown_input,1,1,0.0118,1,0
actionlint,storybookjs_storybook_prepare-patch-release__syntax.yml,syntax,syntax,1,1,0.0086,1,0
actionlint,supabase_supabase_docs-last-changed__execution.yml,execution,nonexistent-seed-job,1,1,0.0104,1,0
actionlint,supabase_supabase_docs-last-changed__registry.yml,registry,unknown_input,1,1,0.0112,1,0
actionlint,supabase_supabase_docs-last-changed__schema.yml,schema,shell,1,1,0.0133,1,0
actionlint,supabase_supabase_docs-last-changed__syntax.yml,syntax,syntax,1,1,0.0089,1,0
